txn_date,raw_description,clean_description,amount,category,parse_method,confidence,review_flag,source_file,created_at
2026-12-27,Card Purchase 12/26 Exu Hong Kong Card 1606,card purchase 12/26 exu hong kong card 1606,-6.99,Uncategorized Expense,pdf-bank,0.84,1,20250128-statements-8065-.pdf,2026-03-26T02:49:20.068508
2026-12-31,Non-Chase ATM Fee-With,non-chase atm fee-with,-3.0,Taxes & Fees,pdf-bank,0.84,0,20250128-statements-8065-.pdf,2026-03-26T02:49:20.068508
2026-12-31,Non-Chase ATM Withdraw 12/31 18480 Fort St Riverview MI Card 1606,non-chase atm withdraw 12/31 18480 fort st riverview mi card 1606,-43.0,Transfer,pdf-bank,0.84,0,20250128-statements-8065-.pdf,2026-03-26T02:49:20.068508
2026-12-31,Card Purchase With Pin 12/31 7-Eleven Southgate MI Card 1606,card purchase with pin 12/31 7-eleven southgate mi card 1606,-4.43,Groceries,pdf-bank,0.84,0,20250128-statements-8065-.pdf,2026-03-26T02:49:20.068508
2026-12-31,Card Purchase 12/30 Meijer Store #123 Southgate MI Card 1606,card purchase 12/30 meijer store 123 southgate mi card 1606,-44.57,Groceries,pdf-bank,0.99,0,20250128-statements-8065-.pdf,2026-03-26T02:49:20.068508
2026-12-31,Card Purchase 12/30 Rams Horn of Southgate 734-2850750 MI Card,card purchase 12/30 rams horn of southgate 734-2850750 mi card,-41.75,Meals,pdf-bank,0.84,0,20250128-statements-8065-.pdf,2026-03-26T02:49:20.068508
2026-12-31,Real Time Transfer Recd From Aba/Contr Bnk-021000021 From:,real time transfer recd from aba/contr bnk-021000021 from,60.79,Transfer,pdf-bank,0.99,0,20250128-statements-8065-.pdf,2026-03-26T02:49:20.068508
2026-12-30,Paypal Inst Xfer Doordashinc Web ID: Paypalsi77,paypal inst xfer doordashinc web id paypalsi77,-6.72,Meals,pdf-bank,0.99,0,20250128-statements-8065-.pdf,2026-03-26T02:49:20.068508
2026-12-30,Paypal Inst Xfer Dropbox Web ID: Paypalsi77,paypal inst xfer dropbox web id paypalsi77,-11.99,Software / SaaS,pdf-bank,0.99,0,20250128-statements-8065-.pdf,2026-03-26T02:49:20.068508
2026-12-30,Paddle.Com Marke Iat Paypal 1039270808164 Web ID: 770510487C,paddle.com marke iat paypal 1039270808164 web id 770510487c,-10.59,Transfer,pdf-bank,0.99,0,20250128-statements-8065-.pdf,2026-03-26T02:49:20.068508
